"language","X1.000000","X2.000000","X3.000000","X4.000000","X5.000000","X6.000000","X7.000000","X8.000000","X9.000000","X10.000000","X11.000000","X12.000000"
"ES",7.071476,-6.512900,7.650800,11.150783,-7.657312,12.484021,-11.709772,3.426596,1.462715,-2.812753,0.866538,-5.244274
"ES",10.982967,-5.157445,3.952060,11.529381,-7.638047,12.136098,-12.036247,3.491943,0.595441,-4.508811,2.332147,-6.221857
"ES",7.827108,-5.477472,7.816257,9.187592,-7.172511,11.715299,-13.847214,4.574075,-1.687559,-7.204041,-0.011847,-6.463144
"ES",6.744083,-5.688920,6.546789,9.000183,-6.924963,11.710766,-12.374388,6.169879,-0.544747,-6.019237,1.358559,-6.356441
"ES",5.836843,-5.326557,7.472265,8.847440,-6.773244,12.677218,-12.315061,4.416344,0.193500,-3.644812,2.151239,-6.816310
"ES",6.267089,-4.227738,7.227741,10.069418,-6.953871,9.384771,-15.341538,6.718533,-0.450952,-7.177585,2.538713,-3.550536
"ES",10.421391,-4.261053,7.472472,9.172961,-7.419083,11.388772,-14.508959,6.557093,0.014110,-8.559910,2.596415,-4.763508
"ES",8.787293,-5.524667,8.752215,10.001286,-8.810647,11.891619,-13.265491,6.968578,0.903085,-5.969508,1.760507,-6.101706
"ES",6.754669,-4.621569,10.172625,14.311938,-7.485512,10.126099,-12.335403,5.022380,-0.454547,-9.487129,1.313203,-3.971762
"ES",9.803577,-4.485605,9.092753,12.236940,-9.276524,9.972296,-14.003346,6.099329,-0.420892,-9.935106,2.556851,-5.887197
"ES",9.607115,-5.856414,6.804578,13.318068,-8.356424,9.999290,-13.649587,3.190674,1.093630,-8.628709,0.903910,-3.572472
"ES",10.148804,-3.633411,5.470405,11.264079,-6.624555,12.251751,-12.346634,6.734823,1.264493,-6.930236,2.982636,-5.512447
"ES",7.598763,-9.123252,8.857363,10.440621,-8.513084,12.140179,-14.739480,4.682152,1.213757,-5.518448,2.276325,-4.331024
"ES",7.077973,-7.265477,9.474136,9.068401,-8.417684,12.104569,-13.272939,3.462327,-1.225247,-5.040444,2.291653,-5.847239
"ES",13.744606,-9.938531,3.068951,13.795041,-6.007463,14.317395,-9.658241,0.302305,1.699647,-10.990290,5.381063,0.124498
"ES",6.745620,-7.225856,6.204442,9.433958,-7.910076,10.204281,-8.566822,8.709702,-2.463777,-8.770122,5.428404,-1.647348
"ES",10.224685,-5.846954,1.579330,11.073192,-6.740059,13.600307,-8.348546,4.256033,-1.076253,-7.462050,4.024938,-0.636634
"ES",11.263467,-6.017982,-0.726262,11.959800,-5.667235,12.318475,-7.892121,4.131175,-0.672802,-9.215645,4.770874,-0.822530
"ES",7.886811,-2.592999,0.261655,12.932129,-4.108915,11.814134,-8.904042,6.176519,1.559732,-7.812313,4.317893,-1.108532
"ES",12.440296,-4.705410,3.627722,11.877672,-9.409797,10.441048,-8.150372,9.492964,-0.081246,-9.736504,3.252668,-5.966581
"ES",12.280758,-2.437558,3.175934,13.473601,-9.478260,9.743755,-8.100078,9.033168,3.866759,-8.987370,3.850405,-2.702633
"ES",8.278839,-3.544324,0.043513,9.996121,-6.328045,10.043865,-9.992878,8.430684,0.893774,-9.861162,3.178046,-4.690954
"ES",13.658292,-4.330519,1.223341,10.791270,-8.533181,10.562120,-8.426624,7.143289,-2.106409,-11.085431,6.569658,-4.294401
"ES",13.633275,-8.480930,1.649426,12.059234,-7.622314,13.473545,-8.337231,3.671756,-2.937494,-8.121959,9.166066,-2.191658
"ES",13.673290,-9.329461,-0.008073,6.951391,-9.590551,12.869720,-9.072661,3.620028,-1.772338,-9.868867,6.307046,-0.387155
"ES",10.557061,-7.303097,0.008080,13.653311,-4.463308,12.464100,-9.815877,1.873557,-1.345834,-8.634075,5.302515,-5.305600
"ES",11.957764,-6.774199,-1.317826,11.190436,-8.474790,13.391763,-7.793663,0.736489,0.192353,-10.036689,3.169703,-2.255794
"ES",10.176416,-8.272813,5.810419,7.394713,-11.586127,10.051142,-7.989370,9.567757,-3.167444,-11.429178,7.316592,-2.582566
"ES",14.796961,-4.550372,1.193712,11.277372,-11.597305,11.496544,-8.326997,4.807786,3.431620,-9.100935,5.738491,1.079622
"FR",-2.339695,0.965367,2.792281,1.199951,-9.312006,7.929752,-10.132815,6.771939,-3.664478,-2.816512,1.677631,-4.826324
"FR",2.286984,-4.907350,-1.129505,2.713912,-10.952140,6.361658,-9.913077,4.685023,-2.791460,-2.026998,6.082870,-4.814511
"FR",0.265926,-2.626205,0.607483,1.689142,-9.649365,8.153231,-10.028298,5.254552,-1.131938,-1.301840,2.055942,-3.282468
"FR",2.368833,-7.266769,4.881858,6.971361,-10.031852,8.649973,-12.085513,5.679910,-0.537340,-2.777274,2.353630,-3.820379
"FR",4.390234,-6.965211,-1.536327,2.746429,-9.678739,9.699456,-9.576294,6.126825,-2.747452,-1.237191,5.298370,-3.869570
"FR",1.515897,-2.529148,-1.427272,4.588245,-8.664692,7.338897,-9.540744,4.701700,-3.077611,-0.844468,4.992310,-3.612189
"FR",-1.272038,0.648214,1.390983,5.554591,-7.985096,7.935630,-8.823008,6.829016,-1.705322,-1.036783,2.680253,-6.399650
"FR",0.547575,-1.779381,2.805631,3.532428,-9.348983,9.281654,-9.933612,6.936922,-1.430532,-2.375792,0.356083,-6.676730
"FR",1.883759,2.704247,-0.951696,6.649428,-9.468329,8.848755,-8.221542,6.893255,0.130256,-2.330362,1.116558,-4.026057
"FR",5.385047,-11.483628,8.342379,5.159618,-9.797843,9.706839,-12.976587,5.550710,-2.156447,-2.721451,3.412070,-6.087525
"FR",3.454143,-4.830972,4.353051,7.154382,-8.301257,8.881973,-10.559603,8.779084,0.003670,-2.225012,1.268999,-8.339259
"FR",3.351775,-4.941083,4.883644,8.921827,-9.499665,8.603318,-10.351936,5.430498,-1.861476,-2.847880,2.569424,-5.344380
"FR",2.887829,0.102068,1.894939,5.106683,-9.698306,7.355214,-9.481575,8.663069,-1.222046,-3.036472,1.558039,-6.007907
"FR",-0.791621,1.303788,-1.791229,6.227355,-9.602931,8.602848,-7.727415,6.436677,-0.055187,0.486530,1.698110,-1.761528
"FR",3.679130,-5.759665,0.884241,4.593627,-10.788311,7.381936,-9.566688,2.830401,-1.532124,-0.550987,4.421048,-3.554568
"FR",11.927053,-10.773460,6.575888,8.153576,-5.505326,14.295971,-11.396879,4.593266,0.000701,-5.430002,4.872316,-7.151154
"FR",11.501897,-3.713864,2.568384,11.517310,-6.786670,12.314911,-6.956871,7.220048,1.100497,-5.308383,6.033536,-7.438234
